,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
59,0.22945220719117124,0.540506821254427,-88.54023052733275,1.0948642590897948,0.2820806313390503,2.1714874483930537,117.0,192.75757575757575,216.0
60,0.10081990922036312,0.35828465682467564,29.523452232814392,0.7981929673836551,0.16212513791378516,1.4580142724857224,143.0,195.82758620689654,219.0
61,0.3372252135991456,0.6552621440585394,76.86293269374387,0.9567942143265096,0.483981262641421,2.4359497935722145,59.0,161.68041237113403,225.0
62,31.167258143467425,6.2994750233040655,86.92258732253947,10.001809579388153,5.007462715557133,37.313058558093914,0.0,164.68655883993307,245.0
63,0.041718583125667494,0.23047288297307544,-34.721989805543195,0.2573139847530388,0.20762382417932038,0.6039292857971277,168.0,188.16666666666666,208.0
64,0.0034765485938056248,0.0665317905127071,-45.00001609038752,0.0,0.0,0.0,198.0,198.0,198.0
65,0.0034765485938056248,0.0665317905127071,-45.00001609038752,0.0,0.0,0.0,189.0,189.0,189.0
66,0.013906194375222499,0.1330635810254142,-45.00001609038752,0.1179245283018868,0.1179245283018868,0.2358490566037736,176.0,190.25,205.0
67,0.1529681381274475,0.4413219715223532,-14.792702539713366,0.60095835985972,0.3396135004854908,1.4294009839103352,113.0,171.72727272727272,199.0
68,0.3719906995372019,0.6882101924008838,-0.6696520307167735,2.2689538337453157,0.24325111952458633,4.133643969209801,33.0,155.94392523364485,230.0
69,0.038242034531861875,0.2206609857611766,-29.91750679455394,0.3961191578467971,0.18024894349967727,0.5672948315778091,156.0,183.0,217.0
70,0.020859291562833747,0.16296893842987523,0.0,0.19256994833201085,0.1179245283018868,0.35377358490566035,194.0,205.66666666666666,218.0
71,0.6918331701673194,0.9385464030171987,-26.493436882985097,3.279206547259384,0.3695594495520379,6.395161602424858,28.0,201.91959798994975,253.0
72,0.05214822890708437,0.25767651664907526,0.0,0.33354093452195643,0.19256994833201085,0.7075471698113207,166.0,199.4,217.0
73,0.048671680313278745,0.24893916542716701,-54.99157292395893,0.3271175554214079,0.20142007160063718,0.7218538140990144,172.0,187.71428571428572,202.0
74,0.024335840156639373,0.17602657197646954,-81.65040707825256,0.2450103010423783,0.11235089228186167,0.42494733379637667,172.0,188.28571428571428,203.0
75,0.1251557493770025,0.3991907430762427,17.114026247406375,0.6107041436138766,0.27620243287839835,1.3826502044991644,147.0,180.19444444444446,200.0
76,0.017382742969028125,0.1487696062511887,79.09932353989771,0.27967957058922627,0.07955500987605242,0.24806054134354646,188.0,197.8,215.0
77,0.031288937344250624,0.19959537153812135,71.5650767661759,0.29415545493505835,0.13362210465389898,0.4860047574952409,171.0,203.44444444444446,216.0
78,0.7683172392310431,0.9890661716440972,63.65805571023326,1.4739050312770001,0.8706590654421125,4.337048890690096,0.0,153.20361990950227,216.0
79,1.074253515485938,1.1695221489939658,-22.27604719292669,4.867706372129095,0.4688234502098175,8.6500342844484,27.0,186.55339805825244,255.0
80,0.06257787468850125,0.282270481416108,53.39247380490067,0.3458444588401935,0.23155594364575427,0.8052390477295035,189.0,215.94444444444446,229.0
81,0.08343716625133499,0.32593787685975045,-2.9888399171584825,1.104912629205073,0.13798735263131978,1.2036682524984137,129.0,179.08333333333334,223.0
82,0.013906194375222499,0.1330635810254142,-45.00001609038752,0.1179245283018868,0.1179245283018868,0.2358490566037736,160.0,174.5,187.0
83,0.34070176219295123,0.658631123304252,70.26827842941158,1.2554568028977096,0.47789566407623674,3.054185723657036,14.0,156.4591836734694,220.0
84,0.024335840156639373,0.17602657197646954,45.00001609038752,0.33354093452195643,0.08252997785657608,0.43715881853614946,192.0,198.71428571428572,211.0
85,917.6037123976504,34.18083283099579,37.084221031384246,67.4260559594405,27.719699266967172,720.8427348459123,0.0,149.75228554866428,255.0
86,0.07300752046991812,0.30488696614542515,84.6078813189545,0.5232916111504242,0.17651109409078536,0.9556077111548671,159.0,194.8095238095238,212.0
87,0.010429645781416873,0.11523644148653772,90.00003218077504,0.19256994833201085,0.0,0.0589622641509434,183.0,186.66666666666666,192.0
88,0.10429645781416874,0.36440962455017883,24.86934069681409,0.604594103815121,0.22176471440536466,1.220070056334028,157.0,173.7,188.0
89,0.055624777500889996,0.2661271620508284,-24.867996860620313,0.40302263096975277,0.17408021597906476,0.7218538140990144,156.0,208.1875,239.0
90,0.06257787468850125,0.282270481416108,33.05243111082559,0.7487274168642415,0.16296528591040885,1.0878388837444477,141.0,187.22222222222223,211.0
